ID,Fecha,Año,Mes,Mes_Nombre,Dia,Hora,Dia_Semana,Es_FinDeSemana,Franja_Horaria,Tipo,SubTipo,Dirección,Partido asignado,Localidad asignada,Latitud_Clean,Longitud_Clean,Patente_Principal,Marca_Detectada,Origen_Dataset,Relato
10015633972,2026-01-01 01:54:00,2026,1,January,1,1,Jueves,False,Madrugada (00-06),ROBO AUTOMOTOR,MOTOS,YAPEYU al 570,GENERAL PUEYRREDON,MAR DEL PLATA,-37.9917081262,-57.6172408382,A115NAU,ZANELLA,ROBO_AUTO_MOTO,11 INF OF MERLO - HURTO ZANELLA 110 2020 YAPEYU 570 - COLOR AZUÑL CALCOMANIA DE RIVER- - DOM A115NAU - GABRIEL ARMANDO CAJAL DNI 32441038 TEL 2234562296 - [Id.Remoto: 10015633972]
10015634445,2026-01-01 02:32:00,2026,1,January,1,2,Jueves,False,Madrugada (00-06),ROBO AUTOMOTOR,MOTOS,GARCIA LORCA y Manuel Savio,GENERAL PUEYRREDON,MAR DEL PLATA,-38.0453849985,-57.5880729992,A266TDB,GILERA,ROBO_AUTO_MOTO,"REFIERE QUELE ROBARON LA MOTO A SU HIJO - SE FUERON HACIA LA VILLA DE TALCAHUANO, ERA UN MASCULINO, NO ESTABA ARMADO, NO HAY HERIDOS - LA MOTO ES UNA 110 FULL GILERA SMASH PATENTE A266TDB"
10015635904,2026-01-01 04:39:00,2026,1,January,1,4,Jueves,False,Madrugada (00-06),ROBO AUTOMOTOR,VEHÍCULOS,GRECIA al 7311,GENERAL PUEYRREDON,MAR DEL PLATA,-37.9914289985,-57.6069359992,NGI943,CHEVROLET,ROBO_AUTO_MOTO,"REFIERE QUE LE ROBARON EL AUTO, NO VIO A LOS DELINCUENTES, NO HAY HERIDOS - EL AUTO ES UN CHEVROLET PRISMA MARRON PATENTE NGI943"
10015636982,2026-01-01 06:29:00,2026,1,January,1,6,Jueves,False,Mañana (06-12),ROBO AUTOMOTOR,VEHÍCULOS,GABOTO al 9493,GENERAL PUEYRREDON,MAR DEL PLATA,-38.0004,-57.5992,nan,OTRA / NO ESPECIFICADA,ROBO_AUTO_MOTO,"LLAMANTE CCA QUE LE ROBARON LA CAMIONETA - DOS DELINCUENTES ARMADOS - NO HERIDOS - ES UN A CAMIONETA TOYYOTA HILUX , BALNCA , 2008 , DOMINIO HFE 588 __SE FUERON POR 12 DE OCTUBRE PARA EL BARRIO LAS AMERICAS __"
10015637068,2026-01-01 06:42:00,2026,1,January,1,6,Jueves,False,Mañana (06-12),ROBO AUTOMOTOR,VEHÍCULOS,CALLE 209 BIS al 9238,GENERAL PUEYRREDON,MAR DEL PLATA,-37.947666072083,-57.598985095077,EQJ604,OTRA / NO ESPECIFICADA,ROBO_AUTO_MOTO,"INF CRIA6TA SGTO ORTEGA SUSTRAEN MODALIDAD HURTO VEHICULO MARCA VW MODELO GOL AÑO 2005 COLOR BLANCO DOMINIO COLOCADO EQJ604 , PROPIETARIO GONZALEZ DEBORA KAREN DNI 31570566 TEL 2235814056 DOMICILIO 209 BIS 9238"
10015637197,2026-01-01 06:59:00,2026,1,January,1,6,Jueves,False,Mañana (06-12),ROBO AUTOMOTOR,VEHÍCULOS,RUTA 88 (P) y Gaboto,GENERAL PUEYRREDON,MAR DEL PLATA,-38.0007489985,-57.5988769992,HFE588,TOYOTA,ROBO_AUTO_MOTO,"PERSONAL DE CRIA 11RA INFORMA QUE DEL LUGAR 2 MASCULINOS ARMADOS SUSTRAEN CAMIONETA TOYOTA HILUX COLOR BLANCA DOMINIO HFE588, VMA QUINTEROS LUCAS, TEL 2235819140"
10015637623,2026-01-01 08:00:00,2026,1,January,1,8,Jueves,False,Mañana (06-12),ROBO AUTOMOTOR,MOTOS,EDUARDO CARASA al 6622,GENERAL PUEYRREDON,MAR DEL PLATA,-38.031033832444,-57.587928536789,A159WMZ,HONDA,ROBO_AUTO_MOTO,"REFIERE QUE HUBO UN ROBO DE UNA MOTO, MOTOVEHICUO HONDA GLA 150 COLOR NEGRA, PATENTE A159WMZ __ERAN DOS EN UN ROUSER 200 NEGRO, ARMADOS , ERAN DOS MASCULINOS UNO DE NEGRO EL OTRO DE CAMPERA ROJA, AMBOS SIN CASCO. EL LLATE NO ESTA HERIDO ..-  "
10015638494,2026-01-01 11:34:00,2026,1,January,1,11,Jueves,False,Mañana (06-12),ROBO AUTOMOTOR,MOTOS,LOS GRANADOS y Zeballos,GENERAL PUEYRREDON,MAR DEL PLATA,-37.9370609984,-57.5588839992,A231QPB,GILERA,ROBO_AUTO_MOTO,CARGA INVERSA CRIA 15TA STTE MIRANDA CEBALLOS Y LOS GRANADOS SUSTRAEN DE HURTO MOTO GILERA 250 DOMINIO A231QPB AÑO 2024 COLOR NEGRA CON BLANCO Y DETALLES LINEAS ROJAS Y NEGRAS DANMIFICADO SR BERTOLLOTTI ESCUDERO MANUEL TEL 223687099
10015638514,2026-01-01 11:38:00,2026,1,January,1,11,Jueves,False,Mañana (06-12),ROBO AUTOMOTOR,VEHÍCULOS,DIAGONAL CESAR GASCON al 2368,GENERAL PUEYRREDON,INDEFINIDA,,,DZA122,FIAT,ROBO_AUTO_MOTO,CARGA INVERSA CRIA  5TA TTE1RO VERON INFORMA DIAGONAL GASCON 2368 SUSTRAEN DE HURTO FIAT SIENA AÑO 2002 DOMINIO DZA122 COLOR AZUL OSCURO DANMIFICADO SR GOMEZ ALTAMIRADA CLAUDIO CESAR JOSE TEL 2236048000 [Id.Remoto: 10015638514]
10015638772,2026-01-01 12:34:00,2026,1,January,1,12,Jueves,False,Tarde (12-18),ROBO AUTOMOTOR,MOTOS,SARMIENTO y Ruta 11 (P),GENERAL PUEYRREDON,MAR DEL PLATA,-38.0077524602,-57.5395649365,nan,OTRA / NO ESPECIFICADA,ROBO_AUTO_MOTO,"LLAMANTE REFIERE HAY UN MASCULINO ROBANDO UNA MOTO , ES UNA MOTO 250 COLOR NEGRA , __EL MASCULINO VISTE CAMPERA AZUL , REFIERE QUE SE SUBIO A LA MOTO Y LUEGO SE BAJO YU LA PATEO PORQUE NO LA PUDO HACER ARRANCAR, ESTARIA DROGADO, SE BAJO  Y CAMINA HACIA  EL CASINO DEL MAR. "
